Business,City,Product/Service,Startup_Cost_PKR,Cost_per_Unit,Price_per_Unit,Marketing_Channel,Failure_Risk
Laundry Shop,Peshawar,Fruit Smoothie Stall,12987,75,155,Flyers,0.25
Chai Stall,Faisalabad,Juice Bar,10586,49,129,Word of Mouth,0.31
Dahi Bhallay Stall,Peshawar,Handmade Jewelry,35179,28,143,Social Media,0.76
Ice Cream Cart,Peshawar,Laundry Shop,33175,91,140,Word of Mouth,0.47
Shawarma Stand,Multan,Online Tutoring,18935,39,97,Word of Mouth,0.37
Chai Stall,Multan,Local Snacks Delivery,5713,24,69,Social Media,0.47
Mobile Repair Shop,Islamabad,Samosa Stall,16717,49,21,Word of Mouth,0.53
Handmade Jewelry,Lahore,Fruit Smoothie Stall,8858,100,142,Social Media,0.49
Chai Stall,Islamabad,Fitness Trainer,21445,58,28,Word of Mouth,0.37
Fruit Stall,Karachi,Street Clothing Vendor,17623,36,55,Social Media,0.46
Online Tutoring,Islamabad,Mini Grocery,42478,31,36,Flyers,0.63
Online Tutoring,Islamabad,Street Photography,26962,34,145,Social Media,0.17
Samosa Stall,Islamabad,Stationery Shop,30819,75,22,Local Advertising,0.47
Local Snacks Delivery,Multan,Local Snacks Delivery,7377,54,28,Social Media,0.71
Pakora Stall,Islamabad,Shawarma Stand,16976,39,135,Social Media,0.37
Repair Electronics,Karachi,Stationery Kiosk,23164,54,55,Flyers,0.34
Repair Electronics,Lahore,Samosa Stall,43898,41,162,Word of Mouth,0.38
Fresh Milk Seller,Peshawar,Street Clothing Vendor,38129,53,61,Flyers,0.3
Tea & Snacks Stall,Faisalabad,Pakora Stall,21256,99,192,Local Advertising,0.11
Pakora Stall,Karachi,Mobile Repair Shop,20057,68,53,Flyers,0.28
Bakery Stall,Lahore,Fresh Milk Seller,35698,59,53,Social Media,0.5
Fresh Milk Seller,Islamabad,Repair Electronics,7744,57,143,Local Advertising,0.32
Handmade Jewelry,Peshawar,Online Tutoring,44609,58,183,Flyers,0.38
Coffee Cart,Faisalabad,Fruit Stall,36623,71,102,Flyers,0.23
Ice Cream Cart,Lahore,Tea & Snacks Stall,33881,31,122,Local Advertising,0.32
Stationery Shop,Faisalabad,Street Photography,41347,59,154,Word of Mouth,0.51
Bakery Stall,Islamabad,Flower Stall,8303,5,136,Local Advertising,0.6
Fresh Milk Seller,Multan,Fresh Milk Seller,49743,14,80,Flyers,0.45
Stationery Shop,Islamabad,Pakora Stall,25082,75,147,Flyers,0.69
Small Tuition Center,Islamabad,Dahi Bhallay Stall,29167,73,33,Social Media,0.49
Fruit Stall,Faisalabad,Flower Stall,35015,18,58,Word of Mouth,0.35
Stationery Kiosk,Faisalabad,Flower Stall,31317,80,169,Word of Mouth,0.41
Candle Stall,Peshawar,Stationery Shop,20317,80,185,Local Advertising,0.75
Stationery Kiosk,Peshawar,Candle Stall,39167,29,57,Word of Mouth,0.41
Chai Stall,Lahore,Handmade Jewelry,46913,21,115,Word of Mouth,0.7
Ice Cream Cart,Lahore,Juice Bar,22225,88,48,Word of Mouth,0.52
Street Photography,Faisalabad,Ice Cream Cart,36774,87,176,Flyers,0.43
Fruit Stall,Lahore,Flower Stall,25585,99,143,Social Media,0.21
Fitness Trainer,Peshawar,Shawarma Stand,14572,12,182,Word of Mouth,0.7
Local Snacks Delivery,Islamabad,Pakora Stall,13163,17,44,Word of Mouth,0.72
Stationery Kiosk,Peshawar,Local Snacks Delivery,44172,24,136,Flyers,0.33
Shawarma Stand,Islamabad,Fruit Stall,42048,16,87,Social Media,0.64
Stationery Shop,Peshawar,Mobile Accessories,49361,46,121,Word of Mouth,0.12
Small Tuition Center,Karachi,Veggie Juice Stand,37165,46,118,Word of Mouth,0.21
Mini Grocery,Peshawar,Stationery Kiosk,27369,32,57,Social Media,0.57
Mini Grocery,Faisalabad,Small Tuition Center,6297,27,108,Word of Mouth,0.14
Stationery Kiosk,Karachi,Repair Electronics,28964,35,101,Word of Mouth,0.36
Veggie Juice Stand,Lahore,Chai Stall,46435,100,152,Word of Mouth,0.26
Online Tutoring,Karachi,Tea & Snacks Stall,13563,21,159,Word of Mouth,0.32
Laundry Shop,Karachi,Handmade Jewelry,44212,46,82,Flyers,0.48
Chai Stall,Lahore,Fitness Trainer,43255,64,168,Social Media,0.43
Mobile Repair Shop,Karachi,Stationery Shop,48054,68,145,Social Media,0.1
Dahi Bhallay Stall,Lahore,Veggie Juice Stand,24020,47,177,Social Media,0.61
Street Photography,Karachi,Candle Stall,29973,16,167,Flyers,0.55
Flower Stall,Faisalabad,Tea & Snacks Stall,45693,93,138,Word of Mouth,0.31
Stationery Kiosk,Multan,Coffee Cart,49143,12,142,Word of Mouth,0.52
Candle Stall,Lahore,Chai Stall,40984,56,178,Local Advertising,0.21
Street Photography,Multan,Chai Stall,45208,24,67,Local Advertising,0.6
Handmade Jewelry,Karachi,Ice Cream Cart,17862,6,184,Social Media,0.51
Fruit Stall,Peshawar,Mini Grocery,30254,31,65,Local Advertising,0.19
Flower Stall,Faisalabad,Tea & Snacks Stall,10359,45,166,Social Media,0.49
Stationery Shop,Islamabad,Ice Cream Cart,8561,37,148,Word of Mouth,0.35
Small Tuition Center,Islamabad,Stationery Shop,13028,15,186,Social Media,0.65
Veggie Juice Stand,Karachi,Street Clothing Vendor,25303,35,146,Social Media,0.27
Pakora Stall,Multan,Tea & Snacks Stall,46644,38,88,Social Media,0.27
Street Clothing Vendor,Islamabad,Candle Stall,10988,61,168,Social Media,0.79
Fresh Milk Seller,Multan,Stationery Kiosk,43866,79,164,Word of Mouth,0.66
Mobile Repair Shop,Lahore,Juice Bar,27609,33,129,Word of Mouth,0.31
Ice Cream Cart,Peshawar,Mobile Repair Shop,46382,47,173,Social Media,0.5
Chai Stall,Karachi,Veggie Juice Stand,7405,82,127,Social Media,0.19
Mini Grocery,Peshawar,Pakora Stall,46021,36,44,Social Media,0.11
Flower Stall,Peshawar,Online Tutoring,21493,75,194,Social Media,0.76
Flower Stall,Faisalabad,Local Snacks Delivery,37784,75,38,Local Advertising,0.14
Candle Stall,Karachi,Fruit Smoothie Stall,47361,59,179,Local Advertising,0.52
Ice Cream Cart,Islamabad,Fresh Milk Seller,11529,83,121,Social Media,0.1
Mobile Accessories,Faisalabad,Online Tutoring,41747,36,29,Flyers,0.58
Handmade Jewelry,Peshawar,Flower Stall,42211,90,138,Word of Mouth,0.54
Pakora Stall,Karachi,Street Clothing Vendor,35822,19,56,Word of Mouth,0.41
Fruit Smoothie Stall,Lahore,Stationery Kiosk,49900,97,85,Word of Mouth,0.42
Repair Electronics,Peshawar,Repair Electronics,9382,22,88,Local Advertising,0.34
Local Snacks Delivery,Lahore,Chai Stall,24357,90,58,Local Advertising,0.56
Ice Cream Cart,Karachi,Shawarma Stand,22662,21,136,Word of Mouth,0.51
Mobile Repair Shop,Karachi,Chai Stall,27953,14,93,Social Media,0.62
Repair Electronics,Multan,Ice Cream Cart,48142,34,122,Social Media,0.12
Bakery Stall,Karachi,Fresh Milk Seller,30204,62,44,Social Media,0.4
Shawarma Stand,Multan,Coffee Cart,7991,60,79,Flyers,0.29
Fitness Trainer,Islamabad,Shawarma Stand,42523,42,192,Local Advertising,0.2
Dahi Bhallay Stall,Multan,Stationery Kiosk,12130,13,43,Flyers,0.71
Online Tutoring,Peshawar,Coffee Cart,16119,37,58,Flyers,0.38
Candle Stall,Multan,Shawarma Stand,13890,7,150,Flyers,0.45
Veggie Juice Stand,Islamabad,Local Snacks Delivery,45600,84,163,Flyers,0.46
Handmade Jewelry,Karachi,Stationery Kiosk,47828,84,63,Flyers,0.25
Handmade Jewelry,Faisalabad,Handmade Jewelry,36633,14,119,Social Media,0.39
Shawarma Stand,Faisalabad,Dahi Bhallay Stall,19156,92,194,Flyers,0.6
Pakora Stall,Islamabad,Candle Stall,9475,18,185,Social Media,0.69
Fruit Stall,Multan,Handmade Jewelry,45693,18,111,Social Media,0.14
Small Tuition Center,Peshawar,Pakora Stall,7285,88,110,Flyers,0.43
Fruit Smoothie Stall,Faisalabad,Flower Stall,14460,45,24,Word of Mouth,0.42
Mobile Accessories,Islamabad,Candle Stall,47257,49,38,Local Advertising,0.39
Chai Stall,Islamabad,Coffee Cart,15233,18,80,Local Advertising,0.3
Bakery Stall,Multan,Ice Cream Cart,47351,87,130,Social Media,0.55
Candle Stall,Islamabad,Candle Stall,34328,18,116,Local Advertising,0.61
Samosa Stall,Islamabad,Stationery Kiosk,15065,74,30,Word of Mouth,0.69
Street Clothing Vendor,Faisalabad,Handmade Jewelry,24110,13,180,Local Advertising,0.26
Stationery Kiosk,Islamabad,Fitness Trainer,44566,100,63,Local Advertising,0.73
Fitness Trainer,Multan,Online Tutoring,32634,46,87,Word of Mouth,0.77
Mobile Repair Shop,Lahore,Fruit Stall,46149,88,117,Word of Mouth,0.77
Flower Stall,Faisalabad,Bakery Stall,23818,44,96,Social Media,0.72
Street Photography,Peshawar,Flower Stall,28903,80,146,Word of Mouth,0.23
Samosa Stall,Islamabad,Street Clothing Vendor,18960,60,96,Word of Mouth,0.4
Local Snacks Delivery,Islamabad,Fresh Milk Seller,18012,92,39,Social Media,0.19
Ice Cream Cart,Lahore,Pakora Stall,26843,96,161,Social Media,0.36
Flower Stall,Faisalabad,Dahi Bhallay Stall,41412,20,142,Flyers,0.54
Pakora Stall,Islamabad,Juice Bar,37885,96,143,Flyers,0.49
Fruit Stall,Karachi,Chai Stall,32861,27,135,Social Media,0.28
Chai Stall,Islamabad,Tea & Snacks Stall,9087,41,43,Word of Mouth,0.41
Fruit Stall,Faisalabad,Pakora Stall,22446,40,144,Word of Mouth,0.38
Stationery Kiosk,Karachi,Online Tutoring,32321,38,177,Social Media,0.53
Fruit Stall,Peshawar,Chai Stall,23612,70,172,Flyers,0.76
Local Snacks Delivery,Faisalabad,Shawarma Stand,30074,59,42,Social Media,0.18
Chai Stall,Multan,Handmade Jewelry,26747,93,38,Local Advertising,0.45
Mobile Accessories,Multan,Mini Grocery,27887,100,155,Flyers,0.39
Handmade Jewelry,Karachi,Small Tuition Center,48017,87,52,Flyers,0.15
Handmade Jewelry,Faisalabad,Small Tuition Center,13720,64,155,Flyers,0.55
Stationery Kiosk,Multan,Dahi Bhallay Stall,12524,90,29,Social Media,0.63
Mobile Accessories,Islamabad,Handmade Jewelry,8415,45,179,Social Media,0.43
Coffee Cart,Lahore,Fruit Stall,37056,42,120,Word of Mouth,0.17
Online Tutoring,Lahore,Mobile Accessories,33241,81,167,Local Advertising,0.41
Samosa Stall,Lahore,Handmade Jewelry,10959,52,151,Word of Mouth,0.63
Mini Grocery,Multan,Pakora Stall,25616,90,84,Flyers,0.48
Samosa Stall,Faisalabad,Mobile Accessories,14665,62,140,Flyers,0.65
Street Clothing Vendor,Faisalabad,Mini Grocery,22888,82,85,Social Media,0.58
Mini Grocery,Karachi,Fruit Smoothie Stall,12844,94,104,Local Advertising,0.68
Fruit Smoothie Stall,Multan,Samosa Stall,23606,27,189,Local Advertising,0.64
Fitness Trainer,Lahore,Online Tutoring,13926,51,182,Social Media,0.63
Fresh Milk Seller,Multan,Small Tuition Center,7271,94,165,Social Media,0.23
Ice Cream Cart,Lahore,Online Tutoring,49741,62,95,Word of Mouth,0.25
Mobile Accessories,Multan,Juice Bar,49336,44,144,Word of Mouth,0.68
Ice Cream Cart,Lahore,Bakery Stall,18941,70,161,Local Advertising,0.38
Local Snacks Delivery,Multan,Laundry Shop,6733,14,188,Social Media,0.69
Chai Stall,Faisalabad,Laundry Shop,21010,78,148,Local Advertising,0.64
Online Tutoring,Multan,Local Snacks Delivery,43848,84,107,Local Advertising,0.64
Mobile Accessories,Faisalabad,Laundry Shop,42883,81,145,Social Media,0.45
Ice Cream Cart,Multan,Ice Cream Cart,28858,66,108,Word of Mouth,0.24
Shawarma Stand,Karachi,Samosa Stall,43725,57,157,Flyers,0.54
Shawarma Stand,Islamabad,Stationery Kiosk,47420,51,107,Flyers,0.54
Stationery Shop,Faisalabad,Samosa Stall,42389,48,177,Flyers,0.67
Ice Cream Cart,Lahore,Ice Cream Cart,25599,28,30,Local Advertising,0.14
Dahi Bhallay Stall,Islamabad,Bakery Stall,22071,72,122,Word of Mouth,0.28
Ice Cream Cart,Multan,Mini Grocery,20212,10,169,Local Advertising,0.66
Dahi Bhallay Stall,Karachi,Mini Grocery,19761,21,158,Word of Mouth,0.19
Coffee Cart,Islamabad,Chai Stall,25407,29,83,Flyers,0.74
Juice Bar,Multan,Local Snacks Delivery,31132,50,66,Social Media,0.54
Ice Cream Cart,Multan,Online Tutoring,22839,28,77,Local Advertising,0.43
Stationery Kiosk,Islamabad,Samosa Stall,18977,19,123,Word of Mouth,0.41
Local Snacks Delivery,Karachi,Bakery Stall,34279,41,62,Flyers,0.33
Chai Stall,Peshawar,Pakora Stall,19272,73,141,Flyers,0.27
Coffee Cart,Lahore,Mobile Repair Shop,25578,100,151,Word of Mouth,0.36
Coffee Cart,Peshawar,Repair Electronics,20720,81,120,Social Media,0.74
Online Tutoring,Multan,Flower Stall,8797,11,38,Word of Mouth,0.47
Tea & Snacks Stall,Karachi,Stationery Kiosk,17365,72,90,Flyers,0.37
Shawarma Stand,Peshawar,Laundry Shop,32047,44,39,Social Media,0.45
Coffee Cart,Faisalabad,Samosa Stall,19665,65,120,Flyers,0.27
Online Tutoring,Karachi,Small Tuition Center,39640,46,152,Word of Mouth,0.77
Online Tutoring,Islamabad,Shawarma Stand,37863,72,100,Social Media,0.44
Samosa Stall,Faisalabad,Candle Stall,17631,81,164,Local Advertising,0.16
Samosa Stall,Faisalabad,Tea & Snacks Stall,37013,47,72,Local Advertising,0.75
Repair Electronics,Peshawar,Shawarma Stand,8921,63,174,Flyers,0.21
Pakora Stall,Faisalabad,Coffee Cart,15993,86,165,Local Advertising,0.32
Fruit Stall,Islamabad,Stationery Kiosk,24392,33,31,Social Media,0.23
Candle Stall,Islamabad,Mini Grocery,25764,24,123,Local Advertising,0.74
Small Tuition Center,Karachi,Bakery Stall,24576,40,163,Local Advertising,0.64
Candle Stall,Faisalabad,Fresh Milk Seller,43429,16,194,Local Advertising,0.3
Dahi Bhallay Stall,Multan,Fruit Stall,38939,56,32,Word of Mouth,0.63
Chai Stall,Islamabad,Online Tutoring,34209,88,125,Flyers,0.16
Fruit Smoothie Stall,Lahore,Samosa Stall,46540,35,89,Social Media,0.48
Veggie Juice Stand,Lahore,Ice Cream Cart,14500,35,108,Local Advertising,0.62
Handmade Jewelry,Multan,Mobile Repair Shop,27764,38,186,Word of Mouth,0.63
Fresh Milk Seller,Peshawar,Chai Stall,29968,11,38,Flyers,0.5
Stationery Shop,Faisalabad,Veggie Juice Stand,35869,63,163,Social Media,0.67
Stationery Kiosk,Karachi,Stationery Shop,10539,51,70,Flyers,0.71
Fruit Smoothie Stall,Peshawar,Ice Cream Cart,37125,82,123,Flyers,0.21
Mini Grocery,Faisalabad,Mobile Repair Shop,7822,11,132,Local Advertising,0.54
Chai Stall,Faisalabad,Coffee Cart,21843,7,125,Local Advertising,0.45
Ice Cream Cart,Multan,Candle Stall,49445,9,161,Word of Mouth,0.33
Bakery Stall,Islamabad,Stationery Shop,5582,24,164,Local Advertising,0.16
Handmade Jewelry,Islamabad,Mobile Accessories,8964,100,51,Word of Mouth,0.53
Repair Electronics,Lahore,Stationery Kiosk,10350,65,152,Word of Mouth,0.63
Veggie Juice Stand,Islamabad,Dahi Bhallay Stall,18450,67,58,Word of Mouth,0.4
Bakery Stall,Multan,Street Clothing Vendor,29148,85,160,Word of Mouth,0.51
Mini Grocery,Peshawar,Mini Grocery,18978,92,52,Social Media,0.24
Samosa Stall,Karachi,Juice Bar,6748,83,184,Local Advertising,0.69
Pakora Stall,Multan,Tea & Snacks Stall,18664,6,121,Local Advertising,0.38
Coffee Cart,Islamabad,Repair Electronics,11537,84,63,Flyers,0.56
Handmade Jewelry,Islamabad,Juice Bar,20964,81,90,Flyers,0.17
Stationery Shop,Islamabad,Candle Stall,34241,17,185,Word of Mouth,0.16
Local Snacks Delivery,Multan,Handmade Jewelry,39835,40,184,Word of Mouth,0.25
Laundry Shop,Peshawar,Dahi Bhallay Stall,6563,81,40,Word of Mouth,0.76
Local Snacks Delivery,Lahore,Pakora Stall,46272,31,76,Local Advertising,0.28
Dahi Bhallay Stall,Peshawar,Mini Grocery,46846,35,135,Flyers,0.52
Fruit Smoothie Stall,Lahore,Mini Grocery,43994,12,38,Local Advertising,0.56
Ice Cream Cart,Faisalabad,Chai Stall,38479,8,159,Social Media,0.55
Dahi Bhallay Stall,Islamabad,Street Clothing Vendor,43497,52,193,Social Media,0.6
Handmade Jewelry,Lahore,Coffee Cart,18942,91,83,Social Media,0.21
Pakora Stall,Karachi,Flower Stall,45947,67,41,Word of Mouth,0.68
Ice Cream Cart,Multan,Street Clothing Vendor,48348,11,116,Social Media,0.45
Fresh Milk Seller,Islamabad,Candle Stall,40322,94,148,Flyers,0.36
Street Photography,Peshawar,Fresh Milk Seller,40396,51,183,Local Advertising,0.72
Mobile Repair Shop,Lahore,Fresh Milk Seller,14495,37,82,Flyers,0.34
Stationery Kiosk,Faisalabad,Chai Stall,21396,49,86,Social Media,0.16
Mobile Accessories,Lahore,Mobile Repair Shop,17975,7,29,Local Advertising,0.69
Samosa Stall,Peshawar,Repair Electronics,17459,88,118,Word of Mouth,0.23
Fruit Smoothie Stall,Islamabad,Coffee Cart,43021,30,153,Flyers,0.78
Shawarma Stand,Lahore,Stationery Shop,26126,23,110,Flyers,0.3
Fitness Trainer,Peshawar,Fresh Milk Seller,8262,8,20,Social Media,0.51
Local Snacks Delivery,Peshawar,Street Clothing Vendor,38522,40,140,Local Advertising,0.5
Fresh Milk Seller,Islamabad,Ice Cream Cart,41652,6,96,Local Advertising,0.12
Veggie Juice Stand,Karachi,Local Snacks Delivery,32225,45,111,Flyers,0.2
Handmade Jewelry,Faisalabad,Handmade Jewelry,47563,57,148,Flyers,0.27
Street Photography,Islamabad,Mobile Repair Shop,48265,16,25,Social Media,0.18
Mobile Repair Shop,Faisalabad,Small Tuition Center,6462,31,159,Flyers,0.76
Stationery Kiosk,Multan,Coffee Cart,15217,19,119,Social Media,0.61
Handmade Jewelry,Multan,Laundry Shop,18763,70,41,Flyers,0.26
Fresh Milk Seller,Peshawar,Handmade Jewelry,37792,65,171,Social Media,0.34
Bakery Stall,Faisalabad,Fresh Milk Seller,43851,90,170,Flyers,0.55
Fresh Milk Seller,Peshawar,Veggie Juice Stand,10951,74,81,Social Media,0.25
Local Snacks Delivery,Peshawar,Ice Cream Cart,49199,36,170,Local Advertising,0.71
Handmade Jewelry,Islamabad,Candle Stall,14366,83,136,Flyers,0.46
Samosa Stall,Multan,Chai Stall,24701,75,106,Social Media,0.52
Fitness Trainer,Islamabad,Laundry Shop,17924,89,37,Flyers,0.66
Juice Bar,Lahore,Laundry Shop,32833,9,130,Flyers,0.69
Street Clothing Vendor,Islamabad,Ice Cream Cart,19707,96,135,Flyers,0.37
Handmade Jewelry,Faisalabad,Street Photography,20133,58,131,Local Advertising,0.11
Fruit Smoothie Stall,Peshawar,Flower Stall,34861,96,49,Social Media,0.26
Bakery Stall,Karachi,Street Clothing Vendor,9487,99,124,Flyers,0.56
Mobile Repair Shop,Karachi,Street Photography,47850,30,156,Local Advertising,0.63
Mini Grocery,Karachi,Mobile Accessories,26600,22,95,Flyers,0.42
Ice Cream Cart,Peshawar,Online Tutoring,16785,19,103,Local Advertising,0.13
Stationery Kiosk,Multan,Small Tuition Center,48875,96,85,Word of Mouth,0.13
Handmade Jewelry,Islamabad,Veggie Juice Stand,48683,40,88,Local Advertising,0.64
Mobile Repair Shop,Lahore,Bakery Stall,16025,40,54,Word of Mouth,0.35
Pakora Stall,Multan,Repair Electronics,7084,95,189,Social Media,0.24
Street Photography,Karachi,Coffee Cart,17582,72,163,Flyers,0.45
Veggie Juice Stand,Faisalabad,Coffee Cart,23022,41,59,Flyers,0.52
Mobile Repair Shop,Multan,Candle Stall,28931,81,87,Local Advertising,0.5
Samosa Stall,Peshawar,Candle Stall,42245,12,152,Word of Mouth,0.58
Local Snacks Delivery,Faisalabad,Chai Stall,42488,32,53,Social Media,0.15
Shawarma Stand,Lahore,Repair Electronics,7308,80,112,Social Media,0.24
Dahi Bhallay Stall,Peshawar,Coffee Cart,30902,59,125,Local Advertising,0.55
Flower Stall,Lahore,Tea & Snacks Stall,24335,53,136,Flyers,0.31
Samosa Stall,Multan,Mobile Accessories,12661,73,173,Flyers,0.34
Mini Grocery,Islamabad,Local Snacks Delivery,16500,28,87,Local Advertising,0.74
Fruit Stall,Peshawar,Ice Cream Cart,44894,37,168,Social Media,0.73
Small Tuition Center,Lahore,Ice Cream Cart,47891,83,128,Flyers,0.38
Fitness Trainer,Peshawar,Dahi Bhallay Stall,9603,57,48,Flyers,0.42
Fruit Stall,Islamabad,Fresh Milk Seller,23524,97,58,Local Advertising,0.78
Mini Grocery,Multan,Shawarma Stand,19842,32,116,Flyers,0.16
Stationery Kiosk,Faisalabad,Street Photography,14219,84,50,Local Advertising,0.7
Chai Stall,Peshawar,Mobile Repair Shop,31709,95,86,Local Advertising,0.4
Flower Stall,Faisalabad,Stationery Shop,28888,6,70,Local Advertising,0.22
Repair Electronics,Peshawar,Fruit Stall,37478,72,52,Social Media,0.31
Fruit Smoothie Stall,Islamabad,Online Tutoring,6438,37,55,Word of Mouth,0.12
Fitness Trainer,Peshawar,Fitness Trainer,36235,69,65,Local Advertising,0.46
Tea & Snacks Stall,Faisalabad,Pakora Stall,7914,12,153,Local Advertising,0.28
Fresh Milk Seller,Peshawar,Shawarma Stand,14701,16,39,Flyers,0.78
Ice Cream Cart,Islamabad,Fruit Smoothie Stall,24654,61,98,Social Media,0.52
Local Snacks Delivery,Islamabad,Bakery Stall,16954,89,31,Flyers,0.35
Chai Stall,Karachi,Pakora Stall,40819,11,129,Local Advertising,0.35
Local Snacks Delivery,Faisalabad,Street Photography,26545,44,186,Word of Mouth,0.56
Fresh Milk Seller,Islamabad,Chai Stall,43303,81,31,Social Media,0.78
Coffee Cart,Lahore,Candle Stall,14341,22,39,Flyers,0.53
Ice Cream Cart,Peshawar,Fresh Milk Seller,8583,23,105,Local Advertising,0.56
Local Snacks Delivery,Faisalabad,Candle Stall,41419,68,146,Social Media,0.38
Pakora Stall,Islamabad,Street Photography,25689,81,182,Word of Mouth,0.18
Dahi Bhallay Stall,Multan,Fresh Milk Seller,28627,17,51,Social Media,0.53
Mobile Accessories,Karachi,Mini Grocery,17115,47,116,Word of Mouth,0.32
Chai Stall,Islamabad,Flower Stall,41459,65,87,Flyers,0.22
Pakora Stall,Multan,Veggie Juice Stand,43836,41,104,Flyers,0.45
Fruit Smoothie Stall,Peshawar,Flower Stall,23240,14,64,Flyers,0.57
Handmade Jewelry,Faisalabad,Repair Electronics,9445,21,116,Local Advertising,0.42
Tea & Snacks Stall,Lahore,Street Clothing Vendor,27128,12,52,Local Advertising,0.57
Dahi Bhallay Stall,Karachi,Fruit Stall,11265,43,192,Word of Mouth,0.11
Veggie Juice Stand,Peshawar,Handmade Jewelry,47155,33,128,Local Advertising,0.33
Coffee Cart,Peshawar,Candle Stall,43912,68,28,Local Advertising,0.51
Fruit Stall,Lahore,Chai Stall,5896,43,192,Local Advertising,0.65
Mini Grocery,Lahore,Laundry Shop,33737,16,157,Word of Mouth,0.71
Stationery Shop,Peshawar,Local Snacks Delivery,34797,66,68,Word of Mouth,0.34
Coffee Cart,Faisalabad,Handmade Jewelry,17794,74,147,Social Media,0.22
Veggie Juice Stand,Karachi,Samosa Stall,29389,16,28,Local Advertising,0.78
Street Clothing Vendor,Peshawar,Mobile Repair Shop,18100,5,153,Flyers,0.47
Street Photography,Lahore,Fruit Smoothie Stall,41607,10,85,Social Media,0.78
Stationery Shop,Peshawar,Fitness Trainer,35136,25,153,Social Media,0.14
Mobile Accessories,Peshawar,Street Photography,20486,90,24,Flyers,0.12
Candle Stall,Peshawar,Street Photography,23700,7,167,Flyers,0.76
Handmade Jewelry,Islamabad,Chai Stall,11725,87,54,Local Advertising,0.28
Fruit Stall,Multan,Fruit Stall,19709,95,126,Local Advertising,0.66
Mobile Repair Shop,Peshawar,Flower Stall,22371,94,75,Local Advertising,0.42
Ice Cream Cart,Peshawar,Mobile Accessories,23299,66,150,Flyers,0.58
Veggie Juice Stand,Karachi,Flower Stall,47004,37,31,Word of Mouth,0.19
Coffee Cart,Islamabad,Ice Cream Cart,43358,29,24,Word of Mouth,0.5
Tea & Snacks Stall,Islamabad,Pakora Stall,48996,34,47,Social Media,0.26
Bakery Stall,Multan,Laundry Shop,26297,18,98,Flyers,0.57
Chai Stall,Islamabad,Fresh Milk Seller,19163,85,94,Word of Mouth,0.46
Laundry Shop,Karachi,Juice Bar,16540,5,170,Flyers,0.72
Mobile Accessories,Faisalabad,Coffee Cart,46124,83,123,Flyers,0.8
Juice Bar,Karachi,Stationery Kiosk,47919,30,148,Word of Mouth,0.74
Local Snacks Delivery,Islamabad,Ice Cream Cart,43966,79,65,Flyers,0.43
Juice Bar,Karachi,Ice Cream Cart,47990,73,40,Flyers,0.13
Dahi Bhallay Stall,Islamabad,Fresh Milk Seller,29005,74,83,Word of Mouth,0.57
Samosa Stall,Faisalabad,Chai Stall,10292,71,37,Social Media,0.78
Online Tutoring,Islamabad,Stationery Kiosk,5394,18,183,Flyers,0.15
Coffee Cart,Faisalabad,Dahi Bhallay Stall,37449,10,170,Local Advertising,0.61
Mobile Accessories,Faisalabad,Coffee Cart,34016,91,59,Local Advertising,0.55
Chai Stall,Peshawar,Samosa Stall,35526,74,115,Flyers,0.18
Ice Cream Cart,Multan,Juice Bar,37581,70,171,Local Advertising,0.27
Mobile Repair Shop,Lahore,Handmade Jewelry,25401,14,160,Flyers,0.79
Mobile Accessories,Faisalabad,Laundry Shop,42307,57,89,Social Media,0.32
Mobile Accessories,Karachi,Chai Stall,44890,69,158,Word of Mouth,0.63
Juice Bar,Lahore,Repair Electronics,37403,24,60,Flyers,0.37
Chai Stall,Peshawar,Veggie Juice Stand,39624,7,97,Social Media,0.2
Tea & Snacks Stall,Islamabad,Street Clothing Vendor,28781,56,35,Social Media,0.22
Samosa Stall,Lahore,Candle Stall,40306,39,76,Local Advertising,0.13
Candle Stall,Karachi,Handmade Jewelry,45236,99,126,Flyers,0.24
